Date,DayofWeek,Visitor,Home,HomeGameNum,DayNight,Attendance,HomeAllStar,VisitorAllStar,HomeWinPct,VisitorWinPct
20160429,Fri,TOR,TBA,22,N,13679,0,3,0.47619047619047616,0.43478260869565216
20160429,Fri,ANA,TEX,23,N,29589,1,0,0.5454545454545454,0.5
20160429,Fri,COL,ARI,25,N,23004,2,4,0.5,0.42857142857142855
20160429,Fri,ATL,CHN,22,D,34007,0,1,0.7619047619047619,0.22727272727272727
20160429,Fri,SDN,LAN,24,N,49686,0,0,0.5217391304347826,0.3181818181818182
20160429,Fri,MIA,MIL,22,N,23215,0,1,0.38095238095238093,0.47619047619047616
20160429,Fri,SFN,NYN,21,N,39764,0,0,0.65,0.5217391304347826
20160429,Fri,CLE,PHI,23,N,18677,1,5,0.5454545454545454,0.5263157894736842
20160429,Fri,CIN,PIT,23,N,29938,1,1,0.5909090909090909,0.4090909090909091
20160429,Fri,WAS,SLN,23,N,45246,0,0,0.5454545454545454,0.6666666666666666
20160430,Sat,CHA,BAL,23,N,29152,3,0,0.6363636363636364,0.6666666666666666
20160430,Sat,NYA,BOS,24,N,37901,6,0,0.5652173913043478,0.38095238095238093
20160430,Sat,DET,MIN,24,D,31109,0,1,0.30434782608695654,0.5454545454545454
20160430,Sat,HOU,OAK,25,D,23084,0,3,0.5,0.30434782608695654
